Material,Description,Req_Count,Total_Est_Qty,Total_Act_Qty,Total_Est_Cost
"FLANGE SA105 3""300 BLIND","Flange SA105 3"" 300# BLIND",8,8.0,8.0,207.462
"FLANGE 316L 20""150 RFSO","Flange 316L 20"" 150# RFSO",8,9.0,9.0,11783.0
"FLANGE 316L 20""150 BLIND","Flange 316L 20"" 150# BLIND",8,9.0,9.0,21325.0
PLT SA36-3/8 X 96 X,"Plate SA36- 3/8""x96""x",8,15.0,15.0,39201.62996
"FLANGE SA105 2""300 RFSO","Flange SA105 2"" 300# RFSO",8,20.0,20.0,342.73999999999995
PLT SA36-1/2 X 60 X 240,"Plate SA36- 1/2""x60""x240""",8,5.0,5.0,11473.070000000002
PIPE 304L 2 SC160 WLD X,"Pipe 304L 2"" Sch160 Welded",8,4.5,4.0,2031.6
NUT 2H P 3/8 HH,"Nut 2H Plated 3/8"" HH",8,305.0,423.0,38.4108
ELBOW 316L 2 SCH40 45 WLD,"Elbow 316L 2"" Sch40 45 Weld",8,14.0,14.0,85.61999999999999
FLAT 304L 3/16 X 2 X 12',"Flat Stk 304L 3/16""x 2""x 12'",8,23.0,23.0,899.0106000000001
PLT SA36-3/16 X 72 X 240,"Plate SA36- 3/16""x72""x240""",8,17.0,17.0,11487.337499999998
STUBEND 304L 8 SCH40,"Stubend 304L 8"" Sch40",8,19.0,19.0,1414.6
CPLG 304L 2 3000 HALF THRD,"Coupling 304L 2""3000 Half Th",8,13.0,9.0,143.36
PIPE 304L 1.5 SC80 SML X,"Pipe 304L 1.5"" Sch80 Seamless",8,3.75,3.75,269.2
FLAT SA36 1/2 X 4 X,"Flat Stk SA36 1/2""x 4""x",8,9.0,9.0,19.0
PLT SA36-5/16 X 72 X 240,"Plate SA36- 5/16""x72""x240""",8,13.0,13.0,8811.6
BOLT B8 5/8X1.5 HH,"Bolt B8 5/8"" x 1.5"" HH",8,180.0,180.0,364.94
BOLT SA325 1/2X2 HH,"Bolt SA325 1/2"" x 2"" HH",8,120.0,120.0,64.96
STRESS RELIEVE,Stress Relieve,8,7.0,8.0,707.5
STUD SA193-B7P 3/4 X 4.5,"Stud SA193-B7P 3/4""x 4.5""",8,76.0,52.0,91.6
BOLT B8 1/2X2 HH,"Bolt B8 1/2"" x 2"" HH",8,80.0,80.0,128.79999999999998
FLAT 316L 1/4 X 1.5 X 12',"Flat Stk 316L 1/4""x 1.5""x 12'",8,36.0,36.0,1192.0616
AG 304L 3/16 X 3 X 3 X 20',"Angle 304L 3/16""x 3""x 3""x 20'",8,4.0,4.0,554.6999999999999
FLAT 304L 3/16 X 1 X 12',"Flat Stk 304L 3/16""x 1""x 12'",8,11.0,11.0,190.59996
FLAT 304L 1/2 X 4 X 12',"Flat Stk 304L 1/2""x 4""x 12'",8,28.0,28.0,4414.450500000001
"FLANGE SA105 8""150 WD NK","Flange SA105 8"" 150# WD NK",8,15.0,15.0,1034.8419999999999
PIPE SA53B 1.5 SC40ST  X,"Pipe SA53B 1.5"" Sch40ST",8,13.5,13.5,71.68499999999999
BOLT B8M 5/8X2.5 HH,"Bolt B8M 5/8"" x 2.5"" HH",7,40.0,40.0,435.68
BOLT B7 3/4X2.5 HH,"Bolt B7 3/4"" x 2.5"" HH",7,286.0,286.0,735.2
PIPE 316L 3 SC80 SML X,"Pipe 316L 3"" Sch80 Seamless",7,3.0,3.0,2482.48
NUT SA194-8 1.25 HH,"Nut SA194-8 1.25"" HH",7,920.0,920.0,5271.599999999999
"FLANGE 316L 2""300 WD NK","Flange 316L 2"" 300# WD NK",7,14.0,14.0,674.3399999999999
BOLT SA325 5/8X1.5 HH,"Bolt SA325 5/8"" x 1.5"" HH",7,136.0,136.0,86.41199999999999
"FLANGE SA105 18""150 WD NK","Flange SA105 18"" 150# WD NK",7,11.0,11.0,3630.0
PIPE 304L 14 SC10 WLD X,"Pipe 304L 14"" Sch10 Welded",7,7.0,5.0,3975.1400000000003
PIPE 316L 12 SC80 SML X,"Pipe 316L 12"" Sch80 Seamless",7,3.0,3.0,3907.66
"PLT 316L 11GA""X X","Plate 316L 11GA""  x x",7,9.0,9.0,10.0
BOLT B8 3/4X2.75 HH,"Bolt B8 3/4"" x 2.75"" HH",7,504.0,504.0,2292.1499999999996
BOLT SA325 1/2X1.5 HH,"Bolt SA325 1/2"" x 1.5"" HH",7,97.0,97.0,48.36
PIPE 316L 12 SC80 WLD X,"Pipe 316L 12"" Sch80 Welded",7,6.0,5.0,10474.29
PIPE SA106 8 SC40ST  X,"Pipe SA106 8"" Sch40ST",7,9.0,9.0,874.73
AG SA36 3/8 X 4 X 4 X 20',"Angle SA36 3/8""x 4""x 4""x 20'",7,7.0,7.0,652.069
"STUDPAD 316L 6""150 STD","Studpad 316L 6"" 150# Std",7,8.0,8.0,4189.75
PLT SA36-3/16 X 60 X 144,"Plate SA36- 3/16""x60""x144""",7,7.0,7.0,1773.1398000000002
STUBEND 316L 8 SCH40,"Stubend 316L 8"" Sch40",7,7.0,7.0,751.75
PIPE 304L 1 SC10 WLD X,"Pipe 304L 1"" Sch10 Welded",7,10.1,10.1,400.69
ELBOW 304L 8 SCH10 90 WLD,"Elbow 304L 8"" Sch10 90 Weld",7,8.0,8.0,605.52
BOLT B8M 5/8X3 HH,"Bolt B8M 5/8"" x 3"" HH",7,56.0,60.0,722.4800000000001
AG SA36 3/16 X 2 X 2 X 20',"Angle SA36 3/16""x 2""x 2""x 20'",7,13.0,13.0,303.09999999999997
PLT SA36-3/16 X 48 X 96,"Plate SA36- 3/16""x48""x96""",7,5.2,5.2,488.49
BOLT B8M 1/2X2 HH,"Bolt B8M 1/2"" x 2"" HH",7,46.0,46.0,797.7
ELBOW 304L 12 SCH40 45 WLD,"Elbow 304L 12"" Sch40 45 Weld",7,7.0,7.0,2038.18
"FLANGE 316L 8""150 LP JNT","Flange 316L 8"" 150# LP JNT",7,8.0,8.0,4737.0199999999995
"FLANGE 2205 3""150 BLIND","Flange 2205 3"" 150 BLIND",7,9.0,9.0,1108.4499999999998
"FLANGE SA105 20""150 BLIND","Flange SA105 20"" 150# BLIND",7,7.0,7.0,4408.22
PLT SA36-1/4 X 96 X 360,"Plate SA36- 1/4""x96""x360""",7,6.0,6.0,10674.009999999998
AG 316L 1/4 X 1 X 1 X 20',"Angle 316L 1/4""x 1""x 1""x 20'",7,1.6,4.0,151.64569999999998
"FLANGE SA105 18""150 BLIND","Flange SA105 18"" 150# BLIND",7,9.0,9.0,3512.64
PLT SA36-3/8 X 60 X 144,"Plate SA36- 3/8""x60""x144""",7,13.0,13.0,5213.24992
"PLT SA36 3/4""X X","Plate SA36 3/4""  x x",7,25.0,25.0,215.002
PLT AL2205 3/16 X,"Plate Alloy 2205 3/16""x",7,40.0,40.0,87371.996
PIPE 304L 10 SC80 WLD X,"Pipe 304L 10"" Sch80 Welded",7,8.0,8.0,15032.85
PLT SA36-3/8 X 96 X 360,"Plate SA36- 3/8""x96""x360""",7,17.0,17.0,36589.61
"STUDPAD 304L 4""150 STD","Studpad 304L 4"" 150# Std",6,11.0,11.0,4065.0
"FLANGE 316L 3/4""150 RFSO","Flange 316L 3/4"" 150# RFSO",6,7.0,6.0,219.48000000000002
STUBEND 304L 6 SCH40,"Stubend 304L 6"" Sch40",6,10.0,10.0,533.8
"FLANGE 2205 12""150 RFSO","Flange 2205 12"" 150 RFSO",6,10.0,10.0,8693.48
CALIBRATION OF GAUGE,,6,20.0,16.0,1200.0
LIN34290,P2000 Flux 50lb Bag,6,1750.0,1750.0,5088.0
SEL1226134V,Selectaloy .045x25lb Sp; 2209,6,1025.0,1025.0,10183.0
PLT SA36-1/2 X 120 X 360,"Plate SA36- 1/2""x120""x360""",6,5.0,5.0,14475.730000000003
STUBEND 304L 1.5 SCH40,"Stubend 304L 1.5"" Sch40",6,7.0,7.0,92.0
CPLG SA105 1/2 3000 FULL THRD,"Coupling 105 1/2""3000 Full Th",6,15.0,15.0,97.32
PLT SA36-3/16 X 60 X 120,"Plate SA36- 3/16""x60""x120""",6,4.0,4.0,1106.79
CPLG 316L 2 3000 HALF THRD,"Coupling 316L 2""3000 Half Th",6,24.0,24.0,472.36
ROD 304L 1/2 X 12',"Rod 4/304L 1/2""x 12'",6,9.0,9.0,220.44979999999998
PIPE 316L 1 SC80 SML X,"Pipe 316L 1"" Sch80 Seamless",6,5.0,5.0,575.17
ELBOW 304L 2 SCH40 45 WLD,"Elbow 304L 2"" Sch40 45 Weld",6,9.0,8.0,72.16999999999999
"FLANGE SA105 1""300 RFSO","Flange SA105 1"" 300# RFSO",6,14.0,14.0,201.516
"FLANGE SA105 4""300 BLIND","Flange SA105 4"" 300# BLIND",6,6.0,6.0,146.22
CPLG 304L 1.5 3000 FULL THRD,"Coupling 304L 1.5""3000 Full Th",6,6.0,6.0,93.78
PIPE 304L 2.5 SC80 WLD X,"Pipe 304L 2.5"" Sch80 Welded",6,5.0,5.0,1150.6799999999998
PIPE 304L 2.5 SC80 SML X,"Pipe 304L 2.5"" Sch80 Seamless",6,4.0,4.0,713.94
PLT SA516-1/4 X 96 X 360,"Plate SA516- 1/4""x96""x360""",6,8.0,7.0,19936.809999999998
PLT SA36-5/16 X 60 X 144,"Plate SA36- 5/16""x60""x144""",6,7.0,7.0,2354.23
BOLT B8M 5/8X2 HH,"Bolt B8M 5/8"" x 2"" HH",6,78.0,78.0,175.9215
BOLT B8M 1/2X3 HH,"Bolt B8M 1/2"" x 3"" HH",6,132.0,132.0,285.16
"FLANGE 2205 6""150 BLIND","Flange 2205 6"" 150 BLIND",6,8.0,8.0,2057.7
ELBOW 304L 3 SCH10 90 WLD,"Elbow 304L 3"" Sch10 90 Weld",6,17.0,17.0,144.41
"FLANGE 2205 1.5""150 RFSO","Flange 2205 1.5"" 150 RFSO",6,11.0,11.0,236.5
PIPE 2205 2 SC160 SMLS X,"Pipe 2205 2"" Sch160 Seamless",6,6.0,6.0,1958.22
PLT SA516-1/4 X 96 X 240,"Plate SA516- 1/4""x96""x240""",6,5.25,5.25,7121.96075
CPLG SA105 1 3000 HALF THRD,"Coupling 105 1""3000 Half Th",6,8.0,8.0,16.278000000000002
PIPE 316L 1.5 SC160 SML X,"Pipe 316L 1.5"" Sch160 Seamless",6,6.0,6.0,1726.99
FLAT 316L 1/2 X 2 X 12',"Flat Stk 316L 1/2""x 2""x 12'",6,14.0,8.0,2718.5501999999997
PLT SA36-1/4 X 72 X,"Plate SA36- 1/4""x72""x",6,10.0,10.0,13396.41
BOLT SA325 3/4X2 HH,"Bolt SA325 3/4"" x 2"" HH",6,84.0,44.0,128.76
PLT 304L 5/16 X 72 X,"Plate 304L 5/16""x 72""x",6,13.0,13.0,29924.989999999998
PLT SA516-5/16 X 120 X,"Plate SA516- 5/16""x120""x",6,3.7,3.7,14682.304
"PLT SA516 3/8""X X","Plate SA516 3/8""  x x",6,13.0,13.0,89.0
BOLT B8 1/2X3 HH,"Bolt B8 1/2"" x 3"" HH",6,228.0,228.0,325.3
BOLT B8 5/8X1.75 HH,"Bolt B8 5/8"" x 1.75"" HH",6,96.0,96.0,288.0
ELBOW 316L 1 SCH40 90 WLD,"Elbow 316L 1"" Sch40 90 Weld",6,11.0,11.0,74.6
"FLANGE 304L 2""300 BLIND","Flange 304L 2"" 300# BLIND",6,6.0,6.0,474.3
"FLANGE SA105 8""150 LP JNT","Flange SA105 8"" 150# LP JNT",6,15.0,15.0,302.48
PIPE 304L 1 SC160 SML X,"Pipe 304L 1"" Sch160 Seamless",6,2.5,1.0,199.89000000000001
PLT SA36-3/16 X 120 X 240,"Plate SA36- 3/16""x120""x240""",6,10.0,10.0,19379.8
PLT SA36-3/16 X 120 X 360,"Plate SA36- 3/16""x120""x360""",6,10.0,10.0,29069.7
FLAT 304L 1/2 X 4 X,"Flat Stk 304L 1/2""x 4""x",6,6.0,6.0,0.0
EXPANDED METAL CS 16GA,Expanded Metal CS 16 Gauge,6,6.0,6.0,8.0
GASKET MH RING  1/8X24X26,"MH Gasket Ring  1/8""x24""x26""",6,7.0,7.0,981.9
BOLT SA325 5/8X3 HH,"Bolt SA325 5/8"" x 3"" HH",6,28.0,28.0,38.4056
PIPE SA53B 3/4 SC40ST  X,"Pipe SA53B 3/4"" Sch40ST",6,1.4500000000000002,1.4500000000000002,46.43
BOLT B7 5/8X2 HH,"Bolt B7 5/8"" x 2"" HH",6,78.0,78.0,308.34
BOLT B7 PL 3/4X2.75 HH,"Bolt B7 Plated 3/4"" x 2.75"" HH",6,198.0,198.0,595.8
STUD SA193-B8 1.25 X 7,"Stud SA193-B8 1.25""x 7""",6,419.0,419.0,7688.0
PIPE 2205 6 SC40 WLD X,"Pipe 2205 6"" Sch40 Welded",6,5.0,5.0,1920.1
PLT SA36-1/2 X 48 X 96,"Plate SA36- 1/2""x48""x96""",6,1.0,1.0,236.87000000000003
ROD 316L 1/4 X 12',"Rod 6/316L 1/4""x 12'",6,15.0,15.0,192.59
"FLANGE 316L 2""300 RFSO","Flange 316L 2"" 300# RFSO",6,14.0,14.0,827.88
ROD A36HR 1/4 X 20',"Rod A36HR 1/4""x 20'",6,6.0,6.0,14.39
PIPE 316L 1.5 SC160 WLD X,"Pipe 316L 1.5"" Sch160 Welded",6,4.0,4.0,195.48000000000002
PIPE 316L 1 SC160 WLD X,"Pipe 316L 1"" Sch160 Welded",6,4.0,4.0,267.14
PIPE 304L 1.5 SC160 WLD X,"Pipe 304L 1.5"" Sch160 Welded",6,3.0,3.0,170.8
BOLT B7 5/8X1.5 HH,"Bolt B7 5/8"" x 1.5"" HH",6,200.0,200.0,542.0
ELBOW 304L 1 SCH40 90 WLD,"Elbow 304L 1"" Sch40 90 Weld",6,16.0,16.0,96.39999999999999
STUBEND 316L 2 SCH80 SML,"Stubend 316L 2"" Sch80 Seemls",6,10.0,10.0,1120.0
BOLT B7 1/2X3 HH,"Bolt B7 1/2"" x 3"" HH",5,132.0,132.0,409.0799999999999
ELBOW 304L 10 SCH40 90 WLD,"Elbow 304L 10"" Sch40 90 Weld",5,11.0,11.0,3730.37
"FLANGE SA105 14""150 RFSO","Flange SA105 14"" 150# RFSO",5,7.0,7.0,588.958
FLAT 304L 3/16 X 3 X 12',"Flat Stk 304L 3/16""x 3""x 12'",5,13.0,13.0,479.55010000000004
PLT 304L 10GA X 48 X,"Plate 304L 10GA""x 48""x",5,7.0,2.0,1680.9704000000002
CPLG SA105 1.5 3000 HALF THRD,"Coupling 105 1.5""3000 Half Th",5,10.0,10.0,37.06
PLT SA516-3/8 X 72 X 240,"Plate SA516- 3/8""x72""x240""",5,0.6,0.6,457.8
"FLANGE SA105 18""150 RFSO","Flange SA105 18"" 150# RFSO",5,7.0,7.0,1425.77
"STUDPAD 2205 3""150 STD","Studpad 2205 3"" 150 Std",5,6.0,5.0,1048.0
PLT SA36-5/16 X 48 X 240,"Plate SA36- 5/16""x48""x240""",5,5.0,5.0,1889.5
PLT SA36-5/16 X 96 X 240,"Plate SA36- 5/16""x96""x240""",5,9.0,9.0,7390.59
PIPE 304L 10 SC40 SML X,"Pipe 304L 10"" Sch40 Seamless",5,1.0,1.0,1050.0
PIPE 304L 4 SC80 SML X,"Pipe 304L 4"" Sch80 Seamless",5,1.0,1.0,284.0
NUT SA325 PLATED 3/4 HH,"Nut Sa325 Plated 3/4"" HH",5,98.0,98.0,46.0
STUD SA193-B7P 3/4 X 6.5,"Stud SA193-B7P 3/4""x 6.5""",5,5.0,5.0,18.0
BOLT B8 3/4X3 HH,"Bolt B8 3/4"" x 3"" HH",5,176.0,176.0,769.5999999999999
FLAT 304L 3/8 X 4 X,"Flat Stk 304L 3/8""x 4""x",5,10.0,10.0,40.0
"FLANGE SA105 6""150 LP JNT","Flange SA105 6"" 150# LP JNT",5,10.0,10.0,250.48000000000002
PIPECAP 304L 3/4 SC80,"Pipe Cap 304L 3/4"" Sch80",5,10.0,10.0,611.9
PIPE 316L 14 SC10 WLD X,"Pipe 316L 14"" Sch10 Welded",5,5.0,4.0,5171.4800000000005
BOLT B7 PL 3/8X2 HH,"Bolt B7 Plated 3/8"" x 2"" HH",5,225.0,225.0,380.25
ELBOW 304L 12 SCH40 90 WLD,"Elbow 304L 12"" Sch40 90 Weld",5,7.0,7.0,3269.0
PLT SA36-1/4 X 48 X 96,"Plate SA36- 1/4""x48""x96""",5,9.0,9.0,1522.01
PLT SA516-5/8 X 96 X,"Plate SA516- 5/8""x96""x",5,4.0,4.0,25234.55
BOLT B8M 3/4X3.5 HH,"Bolt B8M 3/4"" x 3.5"" HH",5,48.0,48.0,301.8208
PLT SA36-3/4 X 72 X 240,"Plate SA36- 3/4""x72""x240""",5,10.0,6.0,26966.989999999998
PLT AL20 1/4 X,"Plate Alloy 20 1/4""x",5,7.0,7.0,30075.38
"FLANGE 304L 10""150 BLIND","Flange 304L 10"" 150# BLIND",5,5.0,5.0,594.05
"FLANGE SA105 2""300 WD NK","Flange SA105 2"" 300# WD NK",5,19.0,19.0,474.53999999999996
PLT 316L 5/16 X 72 X,"Plate 316L 5/16""x 72""x",5,5.0,5.0,13868.810000000001
"FLANGE 2205 24""150 RFSO","Flange 2205 24"" 150 RFSO",5,8.0,8.0,19893.44
"FLANGE 2205 24""150 BLIND","Flange 2205 24"" 150 BLIND",5,8.0,8.0,28839.14
MANWAY,Build Manway to Specifications,5,5.0,5.0,24200.0
NUT 2H P 1/4 HH,"Nut 2H Plated 1/4"" HH",5,322.0,322.0,1.0
FLAT 304L 3/8 X 2.5 X 12',"Flat Stk 304L 3/8""x 2.5""x 12'",5,12.0,12.0,754.9397
"FLANGE 304L 3""300 RFSO","Flange 304L 3"" 300# RFSO",5,15.0,11.0,750.77
PLT SA516-5/16 X 96 X 240,"Plate SA516- 5/16""x96""x240""",5,5.0,5.0,9397.490000000002
NUT 2H 1.25 HH,"Nut 2H 1.25"" HH",5,200.0,200.0,362.8
STUBEND 316L 6 SCH80,"Stubend 316L 6"" Sch80",5,13.0,13.0,6050.25
"FLANGE 316L 3""300 RFSO","Flange 316L 3"" 300# RFSO",5,15.0,15.0,1916.15
PLT 316L 5/8 X 60 X,"Plate 316L 5/8""x 60""x",5,26.6,26.0,190149.36995999998
STUBEND 316L 1 SCH40 SML,"Stubend 316L 1"" Sch40 Seemls",5,22.0,22.0,1563.9
CPLG SA105 3/4 3000 FULL THRD,"Coupling 105 3/4""3000 Full Th",5,16.0,16.0,29.437999999999995
PIPE SA106 10 SC40ST  X,"Pipe SA106 10"" Sch40ST",5,5.0,5.0,661.83
PLT C276 1/4 X,"Plate Alloy C276 1/4""x",5,13.0,5.0,520337.18000000005
STUBEND 304L 4 SCH40,"Stubend 304L 4"" Sch40",5,5.0,5.0,118.94999999999999
STUBEND 304L 2 SCH40,"Stubend 304L 2"" Sch40",5,27.0,27.0,336.6
PIPE SA106 12 ST  X,"Pipe SA106 12"" SchST",5,3.0,3.0,660.17
AG 304L 1/4 X 1 X 1 X 20',"Angle 304L 1/4""x 1""x 1""x 20'",5,3.0,3.0,267.3
PLT SA516-3/8 X 96 X 360,"Plate SA516- 3/8""x96""x360""",5,10.0,10.0,27414.1
ARCS2209CW6,3/32 2209 60lb Coil,5,600.0,600.0,5549.400000000001
AG 304L 1/4 X 1.5 X 1.5 X 20',"Angle 304L 1/4""x 1.5""x1.5""x20'",5,11.0,7.0,1899.8300000000002
PIPECAP 304L 12 SC40,"Pipe Cap 304L 12"" Sch40",5,17.0,17.0,2005.6
CPLG 316L 1/2 3000 HALF THRD,"Coupling 316L 1/2""3000 Half Th",5,9.0,9.0,38.35
PLT SA36-3/8 X 72 X 144,"Plate SA36- 3/8""x72""x144""",5,7.0,7.0,4338.700000000001
FLAT 316L 1/2 X 5 X 12',"Flat Stk 316L 1/2""x 5""x 12'",4,3.0,3.0,1489.4299999999998
PIPE 304L 3 SC160 SML X,"Pipe 304L 3"" Sch160 Seamless",4,2.0,2.0,237.43
PIPE 2205 10 SC40 WLD X,"Pipe 2205 10"" Sch40 Welded",4,5.0,5.0,4688.5
PIPE 304L 2.5 SC40 SML X,"Pipe 304L 2.5"" Sch40 Seamless",4,4.0,4.0,429.25
PIPE 304L 5 SC40 WLD X,"Pipe 304L 5"" Sch40 Welded",4,3.0,3.0,362.01
PIPE 2205 8 SC40 WLD X,"Pipe 2205 8"" Sch40 Welded",4,3.0,3.0,1899.71
WAAW310T1045X33,310 Flux Cored 045 SS Wire,4,132.0,66.0,2583.009
PLT AL2205 5/16 X,"Plate Alloy 2205 5/16""x",4,24.0,24.0,127736.3
PLT SA516-5/8 X 120 X 360,"Plate SA516- 5/8""x120""x360""",4,3.0,3.0,21247.82
"FLANGE 304L 4""300 RFSO","Flange 304L 4"" 300# RFSO",4,5.0,5.0,518.6999999999999
PIPE SA106 1/2 SC80XS  X,"Pipe SA106 1/2"" Sch80XS",4,4.0,4.0,63.300000000000004
PLT SA516-1/4 X 48 X 96,"Plate SA516- 1/4""x48""x96""",4,4.0,3.0,1967.47
PIPE 2205 3 SC40 SMLS X,"Pipe 2205 3"" Sch40 Seamless",4,4.0,3.0,1391.85
PIPE SA106 3/4 SC40ST  X,"Pipe SA106 3/4"" Sch40ST",4,3.0,3.0,100.28
STUBEND 316L 10 SCH40,"Stubend 316L 10"" Sch40",4,5.0,5.0,1805.0
PLT 316L 5/8 X 48 X,"Plate 316L 5/8""x 48""x",4,5.5,5.5,23988.675
ELBOW 316L 10 SCH40 90 WLD,"Elbow 316L 10"" Sch40 90 Weld",4,8.0,8.0,3477.2999999999997
PLT SA36-1/2 X 72 X 144,"Plate SA36- 1/2""x72""x144""",4,5.0,5.0,3767.9100000000008
PIPE 304L 12 SC80 WLD X,"Pipe 304L 12"" Sch80 Welded",4,2.5,2.0,1348.76
PIPE 304L 1 SC160 WLD X,"Pipe 304L 1"" Sch160 Welded",4,2.5,2.0,102.84
FLAT 304L 3/8 X 3.5 X 12',"Flat Stk 304L 3/8""x 3.5""x 12'",4,54.0,54.0,3941.5695
BOLT B7 PL 1/4X1.25 HH,"Bolt B7 Plated 1/4"" x 1.25"" HH",4,232.0,232.0,0.0
ROD AL2205 1/2 X,"Rod AL2205 1/2"" x",4,11.0,11.0,1002.97
PLT 304L 1 X 60 X,"Plate 304L 1""x 60""x",4,4.0,4.0,19215.82
PIPE 316L 14 SC40 WLD X,"Pipe 316L 14"" Sch40 Welded",4,3.0,3.0,1414.6000000000004
PLT SA36-1/4 X 60 X 120,"Plate SA36- 1/4""x60""x120""",4,4.0,4.0,685.1597999999999
ELBOW 304L 6 SCH10 90 WLD,"Elbow 304L 6"" Sch10 90 Weld",4,5.0,5.0,184.15999999999997
FLAT 316L 1/2 X 6 X 12',"Flat Stk 316L 1/2""x 6""x 12'",4,1.2,0.2,621.306
PIPE 2205 4 SC160 SMLS X,"Pipe 2205 4"" Sch160 Seamless",4,4.0,4.0,3085.4599999999996
PIPE 2205 6 SC80 SMLS X,"Pipe 2205 6"" Sch80 Seamless",4,4.0,4.0,3170.68
PIPE 2205 1 SC80 SMLS X,"Pipe 2205 1"" Sch80 Seamless",4,4.0,4.0,365.0
PIPE 2205 3 SC80 SMLS X,"Pipe 2205 3"" Sch80 Seamless",4,4.0,4.0,1868.55
"STUDPAD 2205 6""150 STD","Studpad 2205 6"" 150 Std",4,7.0,7.0,4732.0
"PLT 304L 7/8""X X","Plate 304L 7/8"" x x",4,7.0,7.0,17969.79
"PLT 304L 3/4""X60""","PLT 304L 3/4""X60""X",4,4.0,4.0,28317.975000000002
PLT SA36-3/8 X 48 X 96,"Plate SA36- 3/8""x48""x96""",4,28.25,28.25,7893.82
CPLG AL6XN 3/4 3000 HALF THRD,"Coupling AL6X 3/4""3000 Half Th",4,4.0,4.0,215.18
"FLANGE SA105 2""300 BLIND","Flange SA105 2"" 300# BLIND",4,5.0,5.0,94.75
AG 304L 1/4 X 4 X 4 X 20',"Angle 304L 1/4""x 4""x 4""x 20'",4,7.0,7.0,1939.469
AG 304L 3/8 X 3 X 3 X,"Angle 304L 3/8""x 3""x 3""x",4,19.0,19.0,398.2
"PLT SA516 1/2""X X","Plate SA516 1/2""  x x",4,12.0,12.0,134.0
"PLT SA516 1/4""X X","Plate SA516 1/4""  x x",4,7.0,7.0,81.0
ELBOW 304L 2 SCH10 90 WLD,"Elbow 304L 2"" Sch10 90 Weld",4,5.0,5.0,25.5
"FLANGE 316L 1""300 RFSO","Flange 316L 1"" 300# RFSO",4,12.0,12.0,423.9
PIPE 316L 6 SC10 WLD X,"Pipe 316L 6"" Sch10 Welded",4,5.0,5.0,1260.0
PIPE 316L 3 SC10 WLD X,"Pipe 316L 3"" Sch10 Welded",4,61.0,61.0,20196.4
"FLANGE SA105 1.5""300 WD NK","Flange SA105 1.5"" 300# WD NK",4,11.0,11.0,361.79999999999995
"FLANGE SA105 3""300 WD NK","Flange SA105 3"" 300# WD NK",4,6.0,6.0,202.60000000000002
BOLT B7 1/2X2 HH,"Bolt B7 1/2"" x 2"" HH",4,32.0,24.0,170.8
FLAT SA36 1/4 X 4 X,"Flat Stk SA36 1/4""x 4""x",4,13.0,13.0,237.82000000000005
STUBEND 316L 3 SCH80 SML,"Stubend 316L 3"" Sch80 Seemls",4,40.0,40.0,4200.0
PIPE SA53B 12 XS  X,"Pipe SA53B 12"" SchXS",4,2.55,2.55,1161.52
PIPE SA53B 1/2 SC40ST  X,"Pipe SA53B 1/2"" Sch40ST",4,5.0,5.0,25.65
PLT SA36-3/4 X 48 X,"Plate SA36- 3/4""x48""x",4,0.4,0.4,117.64800000000001
"STUDPAD 2205 2""150 STD","Studpad 2205 2"" 150 Std",4,4.0,4.0,400.0
PIPE 2205 1.5 SC80 WLD X,"Pipe 2205 1.5"" Sch80 Welded",4,2.0,2.0,66.5
PIPE 2205 1 SC40 WLD X,"Pipe 2205 1"" Sch40 Welded",4,3.0,3.0,179.99
PIPE 2205 2 SC40 WLD X,"Pipe 2205 2"" Sch40 Welded",4,3.0,3.0,291.6
BOLT B8 3/4X3.5 HH,"Bolt B8 3/4"" x 3.5"" HH",4,72.0,72.0,688.4
PIPE SA53B 16 40XS  X,"Pipe SA53B 16"" Sch40XS",4,3.85,3.85,2311.73225
PLT SA36-1/2 X 120 X,"Plate SA36- 1/2""x120""x",4,8.0,8.0,36408.9001
PIPE 316L 1.5 SC80 SML X,"Pipe 316L 1.5"" Sch80 Seamless",4,3.0,3.0,221.68
PIPE 304L 1.5 SC10 WLD X,"Pipe 304L 1.5"" Sch10 Welded",4,4.0,4.0,51.0
PIPE 316L 10 SC40 SML X,"Pipe 316L 10"" Sch40 Seamless",4,3.0,3.0,1486.65
"FLANGE 316L 4""300 BLIND","Flange 316L 4"" 300# BLIND",4,4.0,3.0,546.04
PLT SA36-1/2 X 120 X 240,"Plate SA36- 1/2""x120""x240""",4,4.0,4.0,8439.550000000001
PIPE 316L 1 SC160 SML X,"Pipe 316L 1"" Sch160 Seamless",4,5.0,5.0,1103.3600000000001
PIPE 316L 5 SC10 WLD X,"Pipe 316L 5"" Sch10 Welded",4,2.0,2.0,747.08
PIPECAP 316L 4 SC40,"Pipe Cap 316L 4"" Sch40",4,4.0,4.0,45.45
FLAT SA36 3/8 X 4 X 20',"Flat Stk SA36 3/8""x 4""x 20'",3,5.0,5.0,241.94
"FLANGE 316L 10""150 BLIND","Flange 316L 10"" 150# BLIND",3,5.0,5.0,1096.46
STUD SA193-B7 1.25 X 7,"Stud SA193-B7 1.25""x 7""",3,60.0,60.0,297.4
FLAT 304L 3/8 X 4 X 12',"Flat Stk 304L 3/8""x 4""x 12'",3,20.0,20.0,2481.84125
PIPE SA53B 14 SC40  X,"Pipe SA53B 14"" Sch40",3,3.0,3.0,587.27
BOLT B7 5/8X2.5 HH,"Bolt B7 5/8"" x 2.5"" HH",3,20.0,20.0,32.0
